# x	y	H	D	r_b
14.5892131089	0.801277520246	150.0	4.0	0.075
29.3642061536	12.0567853296	150.0	4.0	0.075
10.4536206875	14.8768146836	150.0	4.0	0.075
9.27074634843	6.8750224154	150.0	4.0	0.075
18.3905697017	29.6833118804	150.0	4.0	0.075
26.6783100412	24.3023758439	150.0	4.0	0.075
33.3119716037	5.16607251897	150.0	4.0	0.075
27.1612262297	16.8539985884	150.0	4.0	0.075
2.96534762305	5.47524994739	150.0	4.0	0.075
15.8964475133	34.7074376017	150.0	4.0	0.075
21.5437840453	15.0752689932	150.0	4.0	0.075
0.374604938559	11.9373653986	150.0	4.0	0.075
24.2025332823	5.14179950342	150.0	4.0	0.075
34.1630533067	25.8428543095	150.0	4.0	0.075
33.264466561	33.0877921652	150.0	4.0	0.075
0.967024499558	29.5996663102	150.0	4.0	0.075
14.7645080102	23.6478072411	150.0	4.0	0.075
20.7821038467	20.5012322665	150.0	4.0	0.075
23.8338383591	30.7365666116	150.0	4.0	0.075
20.0988208682	9.84709183338	150.0	4.0	0.075
11.4002444825	32.4461136282	150.0	4.0	0.075
4.38582832788	33.3945171631	150.0	4.0	0.075
19.7183804001	2.7615931069	150.0	4.0	0.075
8.2935578663	27.4394205432	150.0	4.0	0.075
30.9715945767	0.462203354892	150.0	4.0	0.075
1.62930955411	16.9045914485	150.0	4.0	0.075
5.19513721016	10.3309154567	150.0	4.0	0.075
4.8023420004	22.1874845648	150.0	4.0	0.075
7.93354968214	0.082327398844	150.0	4.0	0.075
34.8965367261	10.1733004756	150.0	4.0	0.075
14.3690655274	11.4683343154	150.0	4.0	0.075
32.2504305417	17.4844918763	150.0	4.0	0.075
